_id,_class,content,contentType,crawlItemId,createdDate,creatorUserId,deleted,description,enableComment,externalImageUrl,lastModifiedDate,link,mediaIds,process,processing,publishDate,rawTitle,sentNotification,status,talentUserId,title,totalComment,totalLove,version,bundleId,commentIds,emotions,mediaCredit,offNotificationUserIds,tags,hiddenUserIds,score,categories,recommendationInfo
61dcd8cf6ec9833722c289e7,social.eko.portal.db.entity.News,"Lionel Messi has never played in the Premier League – but has still managed to embarrass England’s finest on a regular basis during his glittering career.  Despite winning seven Ballons d’Or in his career,",News,61dcd8267b4c203f4bb977b4,2022-01-11T01:09:35.923Z,60408364d9bd4522e27b55d4,false,"Lionel Messi has never played in the Premier League – but has still managed to embarrass England’s finest on a regular basis during his glittering career. Despite winning seven Ballons d’Or in his career,",true,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AASCn3b.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg&x=587&y=236,2022-01-11T01:25:27.824Z,https://www.msn.com/en-za/sport/other/watch-lionel-messi-humiliating-pl-big-six-opponents-with-nutmegs/ar-AASCn3y,"[""61dcdc877b4c203f4bb97a5b""]",false,false,2022-01-11T01:09:33.377Z,watchlionelmessihumiliatingplbigsixopponentswithnutmegs,true,1,6040b92208dcaa1aef2d6cd1,Watch: Lionel Messi humiliating PL ‘Big Six’ opponents with nutmegs,0,0,1.0,,,,,,,,,,
61dcd8c16ec9833722c2892a,social.eko.portal.db.entity.News,"Lionel Messi is arguably one of the greatest players to grace the game. His technique, poise, skill and understanding of the game benefitted Barcelona for the longest time and is now proving to be vital for Paris Saint-Germain.",News,61dcd8267b4c203f4bb977b3,2022-01-11T01:09:21.195Z,60408364d9bd4522e27b55d4,false,"Lionel Messi is arguably one of the greatest players to grace the game. His technique, poise, skill and understanding of the game benefitted Barcelona for the longest time and is now proving to be vital for Paris Saint-Germain.",true,https://staticg.sportskeeda.com/editor/2022/01/3b897-16418381705662-1920.jpg,2022-01-11T01:20:48.118Z,https://www.sportskeeda.com/football/5-players-received-number-assists-lionel-messi-neymar-suarez,"[""61dcdb707b4c203f4bb979b1""]",false,false,2022-01-11T01:09:20.684Z,5playerswhoreceivedmostnumberofassistsfromlionelmessi,true,1,6040b92208dcaa1aef2d6cd1,5 players who received most number of assists from Lionel Messi,0,0,1.0,,,,,,,,,,
61dcd8b76ec9833722c288b9,social.eko.portal.db.entity.News,"Lionel Messi, Cristiano Ronaldo and Diego Maradona are just three of the players who are amongst the conversation for the greatest male footballer in history. Everybody has their own two cents to offer on the GOAT debate and seldom does a day go by where at least one corner of social media isn't going back and forth about their selections.",News,61dcd8267b4c203f4bb977b5,2022-01-11T01:09:11.758Z,60408364d9bd4522e27b55d4,false,"Lionel Messi, Cristiano Ronaldo and Diego Maradona are just three of the players who are amongst the conversation for the greatest male footballer in history. Everybody has their own two cents to offer on the GOAT debate and seldom does a day go by where at least one corner of social media isn't going back and forth about their selections.",true,https://site-cdn.givemesport.com/images/22/01/10/c4112faa3234612b9e5dc2796bb2f3d3/1200.jpg,2022-01-11T01:18:05.333Z,https://www.msn.com/en-gb/sports/football/the-greatest-male-xi-in-football-history-as-voted-for-by-fans-is-out-of-this-world/ar-AASCZ7v,"[""61dcdacd7b4c203f4bb97955""]",false,false,2022-01-11T01:09:11.438Z,ronaldomessironaldinhozidanefootballsgreatestevermalexiasvotedforbyfans,true,1,6040b92208dcaa1aef2d6cd1,"Ronaldo, Messi, Ronaldinho, Zidane: Football's greatest ever male XI as voted for by fans",0,0,1.0,,,,,,,,,,
61dcd8aa6ec9833722c287f9,social.eko.portal.db.entity.News,"In keeping with tradition, Lionel Messi is once again nominated in the final three of The Best FIFA Men’s Player awards. FIFA will probably keep nominating him when he retires. Messi is up against Bayern Munich and Poland striker Robert Lewandowski and Liverpool and Egypt superstar Mo Salah.",News,61dcd8267b4c203f4bb977b6,2022-01-11T01:08:58.593Z,60408364d9bd4522e27b55d4,false,"In keeping with tradition, Lionel Messi is once again nominated in the final three of The Best FIFA Men’s Player awards. FIFA will probably keep nominating him when he retires. Messi is up against Bayern Munich and Poland striker Robert Lewandowski and Liverpool and Egypt superstar Mo Salah.",true,https://www.insideworldfootball.com/app/uploads/2019/09/Lionel-Messi-Best-2019.jpg,2022-01-11T01:13:33.868Z,https://www.insideworldfootball.com/2022/01/10/fifas-best-messi-makes-final-three-lewandowski-salah/,"[""61dcd9bd7b4c203f4bb978b7""]",false,false,2022-01-11T01:08:56.066Z,fifasbestmessimakesfinalthreewithlewandowskiandsalah,true,1,6040b92208dcaa1aef2d6cd1,FIFA’s Best: Messi makes final three with Lewandowski and Salah,0,0,1.0,22ad919d3835496585ef9599f8e00dc9,,,,,,,,,
61dbac7c0f2b8e4471eb0f3f,social.eko.portal.db.entity.News,<p>Lionel Messi<br></p>,News,,2022-01-10T03:48:12.011Z,6040b92208dcaa1aef2d6cd1,false,Lionel Messi,true,,2022-01-10T03:51:05.739Z,"","[""61dbac680aae2f42a2f0c416""]",false,false,2022-01-10T03:47:45.623Z,lionelmessi,true,1,6040b92208dcaa1aef2d6cd1,Lionel Messi,1,1,1.0,,"[""61dbad290f2b8e4471eb0f40""]","[{""userId"": ""61986ead62f3c65272d07add"", ""type"": ""love"", ""createdDate"": {""$date"": ""2022-01-10T03:50:58.367Z""}}]","","[""6040b92208dcaa1aef2d6cd1""]",[],,,,
61db86ff6f6a5b0de74a3723,social.eko.portal.db.entity.News,Paris Saint-Germain have reportedly been surprised by Lionel Messi's behaviour in his first few months with the club.,News,61db869e0aae2f42a2f0c277,2022-01-10T01:08:15.275Z,60408364d9bd4522e27b55d4,false,Paris Saint-Germain have reportedly been surprised by Lionel Messi's behaviour in his first few months with the club.,true,https://cdn.kickoff.com/cms2/image_manager/uploads/News/711174/7/Messi.jpg,2022-01-10T01:11:43.365Z,https://www.kickoff.com/news/articles/world-news/categories/news/ligue-1/report-paris-saint-germain-surprised-by-messi-s-behaviour/711174,"[""61db87cf0aae2f42a2f0c30b""]",false,false,2022-01-10T01:08:14.052Z,psgsurprisedbymessisbehaviour,true,1,6040b92208dcaa1aef2d6cd1,PSG 'surprised' by Messi's behaviour,0,0,1.0,,,,,,,,,,
61db86fc6f6a5b0de74a3702,social.eko.portal.db.entity.News,"Lionel Messi was pictured at numerous parties back home in Argentina over Christmas and ultimately contracted a Covid-19 infection, the effects of which could yet rule him out of Sunday’s Ligue 1 clas",News,61db869e0aae2f42a2f0c276,2022-01-10T01:08:12.948Z,60408364d9bd4522e27b55d4,false,"Lionel Messi was pictured at numerous parties back home in Argentina over Christmas and ultimately contracted a Covid-19 infection, the effects of which could yet rule him out of Sunday’s Ligue 1 clas",true,https://eu-images.contentstack.com/v3/assets/bltcc7a7ffd2fbf71f5/blt3b14f225cb066ab1/61d9476ba20914602aa4839b/GettyImages-1237086577.jpg?auto=webp&fit=crop&format=jpg&height=300&quality=60,2022-01-10T01:11:06.895Z,https://www.goal.com/en-in/news/messi-psg-player-power-row/bltd027b697f6e039e4,"[""61db87aa0aae2f42a2f0c2f6""]",false,false,2022-01-10T01:08:11.815Z,howmessibecamethelatestsuperstardraggedintopsgsplayerpowerrow,true,1,6040b92208dcaa1aef2d6cd1,How Messi became the latest superstar dragged into PSG's 'player power' row,0,0,1.0,,,,,,,,,,
61db86fb6f6a5b0de74a36e7,social.eko.portal.db.entity.News,Paris Saint-Germain (PSG) will be without Lionel Messi for the Ligue 1 clash against Lyon at the Parc Olympique Lyonnais.,News,61db869e0aae2f42a2f0c273,2022-01-10T01:08:11.066Z,60408364d9bd4522e27b55d4,false,Paris Saint-Germain (PSG) will be without Lionel Messi for the Ligue 1 clash against Lyon at the Parc Olympique Lyonnais.,true,https://staticg.sportskeeda.com/editor/2022/01/663ea-16417112791981-1920.jpg,2022-01-10T07:49:30.741Z,https://www.sportskeeda.com/football/news-is-lionel-messi-playing-psg-lyon-tonight,"[""61db87830aae2f42a2f0c2e1""]",false,false,2022-01-10T01:08:10.216Z,islionelmessiplayingforpsgagainstlyontonight,true,1,6040b92208dcaa1aef2d6cd1,Is Lionel Messi playing for PSG against Lyon tonight?,1,0,1.0,1dd174c19ca643fe8b252ac329775316,"[""61dbe50a86a0330d0f92be11""]",,,,,,,,
61db86f46f6a5b0de74a367a,social.eko.portal.db.entity.News,"After a scintillating 2021 at Liverpool, Mohamed Salah has made the three-man final shortlist for the highly-coveted Best FIFA Men’s Player of the Year award alongside Lionel Messi and Robert Lewandowski.",News,61db85d00aae2f42a2f0c203,2022-01-10T01:08:04.039Z,60408364d9bd4522e27b55d4,false,"After a scintillating 2021 at Liverpool, Mohamed Salah has made the three-man final shortlist for the highly-coveted Best FIFA Men’s Player of the Year award alongside Lionel Messi and Robert Lewandowski.",true,https://cairoscene.com/Content/Admin/Uploads/Articles/ArticlesMainPhoto/1131976/a66d24fc-54b6-4bdd-83b2-ba9454401aee.jpg,2022-01-10T04:11:00.620Z,https://cairoscene.com/Buzz/Mo-Salah-Makes-Three-Man-Shortlist-for-FIFA-Men-s-Best-Player-Award,"[""61db87150aae2f42a2f0c29f""]",false,false,2022-01-10T01:08:02.993Z,mosalahmakesthreemanshortlistforfifamensbestplayeraward,true,1,604a25fc97ade1053483b6a3,Mo Salah Makes Three-Man Shortlist for FIFA Men’s Best Player Award,0,0,1.0,22ad919d3835496585ef9599f8e00dc9,,,,,,"[""60af7d67207c142406aa30af""]",,,
61db86f26f6a5b0de74a3671,social.eko.portal.db.entity.News,"Just released this morning is that FC Bayern’s Robert Lewandowski is a finalist for UEFA’s “The Best” for the second straight year, joined by PSG’s Lionel Messi & Liverpool’s Mo Salah",News,61db869e0aae2f42a2f0c275,2022-01-10T01:08:02.740Z,60408364d9bd4522e27b55d4,false,"Just released this morning is that FC Bayern’s Robert Lewandowski is a finalist for UEFA’s “The Best” for the second straight year, joined by PSG’s Lionel Messi & Liverpool’s Mo Salah",true,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AASzKZH.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg&x=709&y=126,2022-01-10T09:28:24.762Z,https://www.msn.com/en-us/sports/soccer/robert-lewandowski-lionel-messi-mohammad-salah-are-the-finalists-for-fifa-s-the-best-award/ar-AASzFvF,"[""61db87030aae2f42a2f0c296""]",false,false,2022-01-10T01:08:02.723Z,robertlewandowskilionelmessimohammadsalaharethefinalistsforfifasthebestaward,true,1,6040b92208dcaa1aef2d6cd1,"Robert Lewandowski, Lionel Messi, Mohammad Salah are the finalists for FIFA’s “The Best” award",0,0,1.0,22ad919d3835496585ef9599f8e00dc9,,,,,,"[""61986ead62f3c65272d07add""]",,,
